開講年度,開講学期,曜日,時限,教員,科目名,授業番号,単位数,シラバスURL,科目区分,学部コード
2023,通年,他,0限,安達 久美子,助産学概論,90001,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90001.html,必修,50
2023,通年,他,0限,安達 久美子,周産期基礎学,90002,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90002.html,必修,50
2023,通年,他,0限,安達 久美子,妊娠期助産診断・技術学,90003,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90003.html,必修,50
2023,通年,他,0限,菱沼 由梨,分娩期助産診断・技術学,90004,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90004.html,必修,50
2023,通年,他,0限,菱沼 由梨,産褥期助産診断・技術学,90005,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90005.html,必修,50
2023,通年,他,0限,安達 久美子,助産技術学演習,90006,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90006.html,必修,50
2023,通年,他,0限,菱沼 由梨,ハイリスク助産診断・技術学,90007,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90007.html,必修,50
2023,通年,他,0限,安達 久美子,リプロダクティブヘルス助産学,90008,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90008.html,必修,50
2023,通年,他,0限,安達 久美子,母子保健助産学,90009,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90009.html,必修,50
2023,通年,他,0限,安達 久美子,助産管理学,90010,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90010.html,必修,50
2023,通年,他,0限,菱沼 由梨,助産学実習Ⅰ・分娩,90011,10,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90011.html,必修,50
2023,通年,他,0限,菱沼 由梨,助産学実習Ⅱ・助産所,90012,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90012.html,必修,50
2023,後期,他,0限,菱沼 由梨,助産学実習Ⅲ・産褥,90013,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90013.html,必修,50
2023,通年,他,0限,菱沼 由梨,継続事例実習,90014,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90014.html,必修,50
2023,通年,他,0限,菱沼 由梨,ウイメンズヘルス論,90015,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90015.html,必修,50
2023,通年,他,0限,安達 久美子,相談・教育・援助論,90016,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90016.html,必修,50
2023,後期,月,1限,菱沼 由梨,助産実践と科学的根拠,90017,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/1/2023_50_90017.html,必修,50
2023,後期,他,0限,白井千晶,母性の社会心理,90018,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90018.html,必修(選択),50
2023,通年,他,0限,安達 久美子,地域連携実践論,90019,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90019.html,必修（選択）,50
2023,通年,他,0限,安達 久美子,助産師と専門職連携,90020,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/5/9/2023_50_90020.html,必修（選択）,50
2023,前期,月,1限,佐藤 亮司,AcademicEnglishI(201),A0001,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0001.html,言語科目,0D02
2023,前期,月,1限,間瀬 裕子,AcademicEnglishI(202),A0002,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0002.html,言語科目,0D02
2023,前期,月,1限,宮田 理奈子,AcademicEnglishI(203),A0003,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0003.html,言語科目,0D02
2023,前期,月,1限,中村 美帆子,AcademicEnglishI(204),A0004,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0004.html,言語科目,0D02
2023,前期,月,1限,久保田 裕紀,AcademicEnglishI(205),A0005,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0005.html,言語科目,0D02
2023,前期,月,1限,鄧 瑩,AcademicEnglishI(206),A0006,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0006.html,言語科目,0D02
2023,前期,月,1限,宇佐 教子,AcademicEnglishI(207),A0007,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0007.html,言語科目,0D02
2023,前期,月,1限,藤田 葵,AcademicEnglishI(208),A0008,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0008.html,言語科目,0D02
2023,前期,月,1限,赤塚 敬子,AcademicEnglishI(209),A0009,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0009.html,言語科目,0D02
2023,前期,月,1限,鈴木 美徳,AcademicEnglishI(210),A0010,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0010.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(301),A0011,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0011.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(302),A0012,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0012.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(303),A0013,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0013.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(304),A0014,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0014.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(305),A0015,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0015.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(306),A0016,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0016.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(307),A0017,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0017.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(308),A0018,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0018.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(309),A0019,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0019.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(310),A0020,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0020.html,言語科目,0D02
2023,前期,月,1限,NSE,実践英語IIc(311),A0021,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0021.html,言語科目,0D02
2023,後期,月,1限,中谷 早苗,AcademicEnglishII(201),A0024,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0024.html,言語科目,0D02
2023,後期,月,1限,間瀬 裕子,AcademicEnglishII(202),A0025,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0025.html,言語科目,0D02
2023,後期,月,1限,宮田 理奈子,AcademicEnglishII(203),A0026,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0026.html,言語科目,0D02
2023,後期,月,1限,中村 美帆子,AcademicEnglishII(204),A0027,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0027.html,言語科目,0D02
2023,後期,月,1限,久保田 裕紀,AcademicEnglishII(205),A0028,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0028.html,言語科目,0D02
2023,後期,月,1限,鄧 瑩,AcademicEnglishII(206),A0029,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0029.html,言語科目,0D02
2023,後期,月,1限,宇佐 教子,AcademicEnglishII(207),A0030,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0030.html,言語科目,0D02
2023,後期,月,1限,藤田 葵,AcademicEnglishII(208),A0031,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0031.html,言語科目,0D02
2023,後期,月,1限,赤塚 敬子,AcademicEnglishII(209),A0032,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0032.html,言語科目,0D02
2023,後期,月,1限,鈴木 美徳,AcademicEnglishII(210),A0033,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0033.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(301),A0034,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0034.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(302),A0035,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0035.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(303),A0036,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0036.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(304),A0037,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0037.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(305),A0038,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0038.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(306),A0039,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0039.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(307),A0040,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0040.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(308),A0041,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0041.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(309),A0042,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0042.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(310),A0043,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0043.html,言語科目,0D02
2023,後期,月,1限,NSE,実践英語IId(311),A0044,1,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0044.html,言語科目,0D02
2023,前期,月,2限,中谷 早苗,AcademicEnglishI(601),A0047,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0047.html,言語科目,0D02
2023,前期,月,2限,間瀬 裕子,AcademicEnglishI(602),A0048,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0048.html,言語科目,0D02
2023,前期,月,2限,宮田 理奈子,AcademicEnglishI(603),A0049,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0049.html,言語科目,0D02
2023,前期,月,2限,中村 美帆子,AcademicEnglishI(604),A0050,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0050.html,言語科目,0D02
2023,前期,月,2限,久保田 裕紀,AcademicEnglishI(605),A0051,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0051.html,言語科目,0D02
2023,前期,月,2限,鄧 瑩,AcademicEnglishI(606),A0052,2,http://www.kyouikujouhou.eas.tmu.ac.jp/syllabus/2023/0/1/2023_0D02_A0052.html,言語科目,0D02
